metric,mean_OICA_minus_Graph,ci95_low,ci95_high,oica_better_fraction
tau_eps,-0.9305555555555556,-1.087962962962963,-0.7731481481481481,0.4861111111111111
final_omega,-0.07242222763594716,-0.08950004066264731,-0.055582699782678664,0.5486111111111112
final_regret,-0.0015860301512110634,-0.00694057274427649,0.0036377650708827097,0.11805555555555555
final_cost,0.1927422500727356,0.04261306264748959,0.35042176630869026,0.4513888888888889
