k,n_samples,observed_states,reconstructed_states,join_reconstruction_error,features
1,569,34,64,0.46875,worst concave points;worst perimeter;mean concave points;worst radius;mean perimeter
2,569,34,64,0.46875,worst concave points;worst perimeter;mean concave points;worst radius;mean perimeter
3,569,34,56,0.34375,worst concave points;worst perimeter;mean concave points;worst radius;mean perimeter
4,569,34,36,0.03125,worst concave points;worst perimeter;mean concave points;worst radius;mean perimeter
5,569,34,34,0.0,worst concave points;worst perimeter;mean concave points;worst radius;mean perimeter
6,569,34,34,0.0,worst concave points;worst perimeter;mean concave points;worst radius;mean perimeter
