noise_p,d,reps,mean_threshold_rank,sd_threshold_rank,mean_opacity_auc,sd_opacity_auc
0.0,5,20,5.0,0.0,0.3813241146616248,0.00011409827628173575
0.02,5,20,4.9,0.30779350562554625,0.3689912438622641,0.03051748799797605
0.05,5,20,4.15,0.8127277008872492,0.300541540105793,0.07702572521071506
0.1,5,20,3.45,0.8870412083230169,0.2330280016689276,0.08179086070633254
0.2,5,20,2.8,1.105012502906165,0.16456343938488804,0.09853551628165425
