k,n,join_regret_mean,hcat_regret_mean,mean_regret_reduction,reduction_ci95_low,reduction_ci95_high,wilcoxon_regret_statistic,wilcoxon_regret_one_sided_p,join_worst_utility_mean,hcat_worst_utility_mean,mean_guaranteed_utility_gain,wilcoxon_guarantee_one_sided_p,join_support_fraction_mean,hcat_support_fraction_mean,bound_pass_rate
1,250,4.0336,4.595599999999999,-0.562,-0.855805,-0.29799499999999995,14669.5,0.8375416448625479,-0.40759999999999996,-0.32959999999999995,0.078,0.002823861007466206,0.5335348757384878,0.47513073066076755,1.0
2,250,1.8805999999999996,1.6373999999999997,0.2432,-0.11364999999999996,0.6118049999999999,15032.0,0.7307606253931027,2.4654,3.7885999999999993,1.3231999999999997,2.780986965163012e-07,0.7508603341315256,0.7690010763993267,1.0
3,250,0.22319999999999998,0.21280000000000002,0.01039999999999995,-0.07880000000000004,0.13459999999999991,13897.0,0.9594884067988336,7.322799999999999,8.013200000000001,0.6903999999999999,0.01283906344202389,0.9530635270818482,0.9799892328398384,1.0
